PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
TOI-712 d                     ,       ,  0.221,     84.8,0.073, 30.0,  0.0, 47.3, 387.7, 326.1, 360.4, 303.1,  0.344,  0.436,  0.802,  0.846
TOI-715 b                     ,       ,  0.138,     19.3,0.000, 90.0,100.0,100.0, 299.8, 252.1, 299.8, 252.1,  0.056,  0.071,  0.140,  0.148
TOI-733 b                     ,  0.018,  0.178,      4.9,0.046,306.8,  0.0,  0.0,1298.1,1091.6,1239.7,1042.5,  0.687,  0.871,  1.544,  1.628
TOI-757 b                     ,  0.033,  0.223,     17.5,0.390,324.0,  0.0,  0.0, 977.5, 821.9, 647.5, 544.5,  0.501,  0.634,  1.135,  1.198
TOI-762 A b                   ,  0.251,  0.744,      3.5,0.083, 90.0,  0.0,  0.0, 690.0, 580.2, 634.9, 533.9,  0.112,  0.141,  0.278,  0.293
TOI-763 b                     ,  0.031,  0.203,      5.6,0.040, 42.0,  0.0,  0.0,1233.1,1036.9,1184.8, 996.3,  0.611,  0.774,  1.377,  1.453
TOI-763 c                     ,  0.029,  0.235,     12.3,0.040, 62.0,  0.0,  0.0, 950.0, 798.8, 912.7, 767.5,  0.611,  0.774,  1.377,  1.453
TOI-771 b                     ,       ,  0.127,      2.3,0.000, 90.0,  0.0,  0.0, 627.0, 527.2, 627.0, 527.2,  0.061,  0.077,  0.152,  0.160
TOI-776 b                     ,  0.016,  0.160,      8.2,0.052, 45.0,  0.0,  0.0, 634.9, 533.9, 602.7, 506.8,  0.185,  0.235,  0.451,  0.476
TOI-776 c                     ,  0.022,  0.183,     15.7,0.089,  7.0,  0.0,  0.0, 523.1, 439.9, 478.4, 402.3,  0.185,  0.235,  0.451,  0.476
TOI-778 b                     ,  2.800,  1.370,      4.6,0.210, 28.0,  0.0,  0.0,2356.9,1981.9,1904.4,1601.4,  1.710,  2.166,  3.757,  3.962
TOI-782 b                     ,  0.060,  0.244,      8.0,0.190, 90.0,  0.0,  0.0, 574.5, 483.1, 474.0, 398.6,  0.115,  0.146,  0.286,  0.301
TOI-784 b                     ,  0.030,  0.172,      2.8,0.000, 90.0,  0.0,  0.0,1556.9,1309.2,1556.9,1309.2,  0.638,  0.808,  1.435,  1.513
TOI-813 b                     ,       ,  0.599,     83.9,0.000, 90.0,  0.0,  0.0, 725.3, 609.9, 725.3, 609.9,  1.510,  1.913,  3.363,  3.547
TOI-815 b                     ,  0.024,  0.262,     11.2,0.200, 90.0,  0.0,  0.0, 911.4, 766.4, 744.2, 625.8,  0.431,  0.546,  0.993,  1.048
TOI-815 c                     ,  0.074,  0.234,     35.0,0.220, 90.0,  0.0,  0.0, 631.4, 530.9, 504.8, 424.5,  0.431,  0.546,  0.993,  1.048
TOI-824 b                     ,  0.058,  0.261,      1.4,0.000, 90.0,  0.0,  0.0,1491.8,1254.4,1491.8,1254.4,  0.352,  0.446,  0.820,  0.865
TOI-833 b                     ,       ,  0.113,      1.0,0.000, 90.0,  0.0,  0.0,1331.3,1119.5,1331.3,1119.5,  0.224,  0.284,  0.541,  0.570
TOI-836 b                     ,  0.014,  0.152,      3.8,0.053,  9.0,  0.0,  0.0,1064.7, 895.3,1009.7, 849.0,  0.330,  0.417,  0.770,  0.812
TOI-836 c                     ,  0.030,  0.231,      8.6,0.078,332.0,  0.0,  0.0, 809.4, 680.6, 748.5, 629.4,  0.330,  0.417,  0.770,  0.812
TOI-837 b                     ,  0.379,  0.818,      8.3,0.000, 90.0,  0.0,  0.0,1195.9,1005.6,1195.9,1005.6,  0.857,  1.086,  1.905,  2.009
TOI-849 b                     ,  0.132,  0.325,      0.8,0.000, 90.0,  0.0,  0.0,2384.4,2005.1,2384.4,2005.1,  0.621,  0.787,  1.410,  1.487
TOI-858 B b                   ,  1.100,  1.255,      3.3,0.150, 90.0,  0.0,  0.0,1973.3,1659.3,1696.5,1426.6,  1.000,  1.267,  2.230,  2.352
TOI-871 b                     ,       ,  0.148,     14.4,0.000, 90.0,  0.0,  0.0, 739.1, 621.5, 739.1, 621.5,  0.412,  0.522,  0.948,  1.000
TOI-880.02                    ,       ,  0.248,      2.6,0.000, 90.0,  0.0,  0.0,1383.2,1163.1,1383.2,1163.1,  0.468,  0.593,  1.077,  1.135
TOI-892 b                     ,  0.950,  1.070,     10.6,0.125, 90.0,  0.0,  0.0,1496.5,1258.4,1319.8,1109.8,  1.197,  1.517,  2.646,  2.791
TOI-904 b                     ,       ,  0.216,     10.9,0.000, 90.0,  0.0,  0.0, 665.2, 559.3, 665.2, 559.3,  0.184,  0.233,  0.447,  0.471
TOI-904 c                     ,       ,  0.193,     84.0,0.000, 90.0,100.0,100.0, 281.8, 237.0, 281.8, 237.0,  0.184,  0.233,  0.447,  0.471
TOI-905 b                     ,  0.667,  1.171,      3.7,0.024, 39.0,  0.0,  0.0,1434.7,1206.4,1400.7,1177.8,  0.649,  0.822,  1.459,  1.538
TOI-907.01                    ,       ,  0.857,      4.6,0.000, 90.0,  0.0,  0.0,2196.2,1846.8,2196.2,1846.8,  1.768,  2.240,  3.906,  4.120
TOI-908 b                     ,  0.051,  0.284,      3.2,0.132, 35.9,  0.0,  0.0,1720.0,1446.3,1506.1,1266.5,  0.738,  0.935,  1.656,  1.747
TOI-913 b                     ,       ,  0.219,     11.1,0.000, 90.0,  0.0,  0.0, 807.7, 679.2, 807.7, 679.2,  0.425,  0.538,  0.976,  1.029
TOI-954 b                     ,  0.174,  0.852,      3.7,0.140,276.0,  0.0,  0.0,2181.9,1834.7,1895.1,1593.6,  1.396,  1.768,  3.123,  3.294
TOI-969 b                     ,  0.029,  0.247,      1.8,0.000, 90.0,  0.0,  0.0,1283.0,1078.8,1283.0,1078.8,  0.317,  0.401,  0.745,  0.785
TOI-969 c                     , 11.300,       ,   1700.0,0.628,208.5,  0.0,  0.0, 215.1, 180.9, 102.8,  86.5,  0.317,  0.401,  0.745,  0.785
